metric	best_timestep	best_layer	best_gain	worst_timestep	worst_layer	worst_gain
linear_top1	0.5	27	0.006999969482421764	0.5	23	-0.018999993801117165
linear_top5	0.5	25	0.003000020980835183	0.5	22	-0.008000016212463268
knn_top1	0.5	24	0.256	0.5	0	-0.19100000000000006
knn_recall_at_k	0.5	8	0.01100000000000001	0.5	0	-0.008000000000000007
cka	0.5	8	0.33057862520217896	0.5	1	-0.1964751929044724
cknna	0.5	8	0.121592752635479	0.5	4	-0.03515932708978649
nc1	0.5	13	0.45974720035842065	0.5	1	-1.0238046455196064
ncm_acc	0.5	8	0.5609375	0.5	1	-0.4734375
etf_dev	0.5	7	11.598848380320666	0.5	2	-9.758792750583446
